# Table: fun
# Replaces: type=fact
# uuid: id
type,content
fact,"The name for Oz in the ""Wizard of Oz"" was thought up when the creator, Frank Baum, looked at his filing cabinet and saw A-N, and O-Z; hence the name ""OZ.""."
fact,"The microwave was invented after a researcher walked by a radar tube and a chocolate bar melted in his pocket."
fact,"Mr. Rogers is an ordained minister."
fact,"John Lennon's first girlfriend was named Thelma Pickles."
fact,"There are 336 dimples on a regulation golf ball."
fact,"The scene where Indiana Jones shoots the swordsman in Raider’s of the Lost Ark was Harrison Ford's idea so that he could take a bathroom break."
fact,"A crocodile cannot stick its tongue out."
fact,"A snail can sleep for three years."
fact,"All polar bears are left-handed."
fact,"China has more English speakers than the United States."
fact,"Elephants are the only animals that can't jump."
fact,"February 1865 is the only month in recorded history not to have a full moon."
fact,"If the population of China walked past you in single file, the line would never end because of the rate of reproduction."
fact,"If you yelled for 8 years, 7 months and 6 days, you will have produced enough sound energy to heat one cup of coffee."
fact,"In the last 4000 years, no new animals have been domesticated."
fact,"Leonardo Da Vinci invented the scissors."
fact,"The word ""set"" has more definitions than any other word in the English language."
fact,"Nutmeg is extremely poisonous if injected intravenously."
fact,"On average, people fear spiders more than they do death."
fact,"One of the reasons marijuana is illegal today is because cotton growers in the 1930s lobbied against hemp farmers they saw it as competition."
fact,"Shakespeare invented the word 'assassination' and 'bump'."
fact,"Some lions mate over 50 times a day."
fact,"Starfish haven't got brains."
fact,"The ant always falls over on its right side when intoxicated."
fact,"The name of all continents in the world end with the same letter that they start with."
fact,"There are two credit cards for every person in the United States."
fact,"The longest word comprised of one row on the keyboard is: TYPEWRITER."
fact,"You can't kill yourself by holding your breath."
fact,"The average person spends 12 weeks a year 'looking for things'."
fact,"The symbol on the ""pound"" key (#) is called an octothorpe."
fact,"The dot over the letter 'i' is called a tittle."
fact,"Ingrown toenails are hereditary."
fact,"""Underground"" is the only word in the English language that begins and ends with the letters ""und""."
fact,"The longest word in the English language, according to the Oxford English Dictionary, is: pneumonoultramicroscopicsilicovolcanoconiosis.."
fact,"The longest place-name still in use is: Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiakitnatahu, a New Zealand hill."
fact,"An ostrich's eye is bigger than its brain."
fact,"Alfred Hitchcock didn't have a belly button. It was eliminated when he was sewn up after surgery."
fact,"Telly Savalas and Louis Armstrong died on their birthdays."
fact,"Donald Duck's middle name is Fauntleroy."
fact,"The muzzle of a lion is like a fingerprint - no two lions have the same pattern of whiskers."
fact,"Steely Dan got their name from a sexual device depicted in the book 'The Naked Lunch'."
fact,"The Ramses brand condom is named after the great pharoh Ramses II who fathered over 160 children."
fact,"There is a seven letter word in the English language that contains ten words without rearranging any of its letters, ""therein"": the, there, he, in, rein, her, here, ere, therein, herein."
fact,"A goldfish has a memory span of three seconds."
fact,"Cranberries are sorted for ripeness by bouncing them; a fully ripened cranberry can be dribbled like a basketball."
fact,"The male gypsy moth can ""smell"" the virgin female gypsy moth from 1.8 miles away."
fact,"The letters KGB stand for Komitet Gosudarstvennoy Bezopasnosti."
fact,"The word ""dexter"" whose meaning refers to the right hand is typed with only the left hand."
fact,"To ""testify"" was based on men in the Roman court swearing to a statement made by swearing on their testicles."
fact,"Facetious and abstemious contain all the vowels in the correct order, as does arsenious, meaning ""containing arsenic.""."
fact,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Mat,"" which means ""the king is dead.""."
fact,"The first episode of ""Joanie Loves Chachi"" was the highest rated American program in the history of Korean television, a country where ""Chachi"" translates to ""penis""."
fact,"Rubber bands last longer when refrigerated."
fact,"The national anthem of Greece has 158 verses. No one in Greece has memorized all 158 verses."
fact,"Two-thirds of the world's eggplant is grown in New Jersey."
fact,"The giant squid has the largest eyes in the world."
fact,"Giraffes have no vocal cords."
fact,"The pupils of a goat's eyes are square."
fact,"Van Gogh only sold one painting when he was alive."
fact,"A standard slinky measures 87 feet when stretched out."
fact,"The highest per capita Jell-O comsumption in the US is Des Moines."
fact,"If a rooster can't fully extend its neck, it can't crow."
fact,"There were always 56 curls in Shirley Temple's hair."
fact,"The eyes of a donkey are positioned so that it can see all four feet at all times."
fact,"Worcestershire sauce in essentially an Anchovy Ketchup."
fact,"Rhode Island is the only state which the hammer throw is a legal high school sport."
fact,"The average lifespan of an eyelash is five months."
fact,"A spider has transparent blood."
fact,"Every acre of American crops harvested contains 100 pounds of insects."
fact,"Prince Charles is an avid collecter of toilet seats."
fact,"The most common street name in the U.S. is Second Street."
fact,"Tehran is the most expensive city on earth."
fact,"The sweat drops drawn in cartoon comic strips are called pleuts."
fact,"Babies are most likely to be born on Tuesdays."
fact,"The HyperMart outside of Garland Texas has 58 check-outs."
fact,"The Minneapolis phone book has 21 pages of Andersons."
fact,"In the 1980's American migraines increased by 60%."
fact,"Poland is the ""stolen car capital of the world""."
fact,"Jefferson invented the dumbwaiter, the monetary system, and the folding attic ladder."
fact,"The S in Harry S. Truman did not stand for anything."
fact,"In Miconesia, coins are 12 feet across."
fact,"A horse can look forward with one eye and back with the other."
fact,"Shakespeare is quoted 33,150 times in the Oxford English dictionary."
fact,"The word Pennsylvania is misspelled on the Liberty Bell."
fact,"NBA superstar Michael Jordan was originally cut from his high school basketball team."
fact,"You spend 7 years of your life in the bathroom."
fact,"A family of 26 could go to the movies in Mexico city for the price of one in Tokyo."
fact,"10,000 Dutch cows pass through the Amsterdam airport each year."
fact,"Approximately every seven minutes of every day, someone in an aerobics class pulls their hamstring."
fact,"Simplistic passwords contribute to over 80% of all computer password break-ins."
fact,"The top 3 health-related searches on the Internet are (in this order): Depression, Allergies, & Cancer."
fact,"Dentists have recommended that a toothbrush be kept at least 6 feet away from a toilet to avoid airborne particles resulting from the flush."
fact,"Most dust particles in your house are made from dead skin."
fact,"Venus is the only planet that rotates clockwise."
fact,"Oak trees do not produce acorns until they are fifty years of age or older."
fact,"The first owner of the Marlboro company died of lung cancer."
fact,"All US Presidents have worn glasses; some just didn't like being seen wearing them in public."
fact,"Mosquito repellents don't repel. They hide you. The spray blocks the mosquito's sensors so they don't know you're there."
fact,"Walt Disney was afraid of mice."
fact,"The site with the highest number of women visitors between the age of 35 and 44 years old: Alka-Seltzer.com."
fact,"The king of hearts is the only king without a mustache."
fact,"Pearls melt in vinegar."
fact,"It takes 3,000 cows to supply the NFL with enough leather for a year's supply of footballs."
fact,"Thirty-five percent of people who use personal ads for dating are already married."
fact,"The 3 most valuable brand names on earth are Marlboro, Coca-Cola, and Budweiser (in that order)."
fact,"Humans are the only primates that don't have pigment in the palms of their hands."
fact,"Months that begin on a Sunday will always have a 'Friday the 13th'."
fact,"The fingerprints of koala bears are virtually indistinguishable from those of humans, so much so that they can be easily confused at a crime scene."
fact,"The mask worn by Michael Myers in the original ""Halloween"" was actually a Captain Kirk mask painted white."
fact,"The only two days of the year in which there are no professional sports games--MLB, NBA, NHL, or NFL--are the day before and the day after the Major League All-Star Game."
fact,"Only one person in two billion will live to be 116 or older."
fact,"When the French Academy was preparing its first dictionary, it defined ""crab"" as, ""A small red fish, which walks backwards."" This definition was sent with a number of others to the naturalist Cuvier for his approval.  The scientist wrote back, ""Your definition, gentlemen, would be perfect, only for three exceptions. The crab is not a fish, it is not red and it does not walk backwards.""."
fact,"Dr. Jack Kevorkian first patient has Alzheimer's disease."
fact,"Fictional/horror writer Stephen King sleeps with a nearby light on to calm his fear of the dark."
fact,"It's possible to lead a cow upstairs but not downstairs."
fact,"It was discovered on a space mission that a frog can throw up. The frog throws up its stomach first, so the stomach is dangling out of its mouth. Then the frog uses its forearms to dig out all of the stomach's contents and then swallows the stomach back down."
fact,"The very first song played on MTV was 'Video Killed The Radio Star' by the Buggles."
fact,"William Marston engineered one of the earliest forms of the polygraph in the early 1900's. Later he went on to create the comic strip Wonder Woman, a story about a displaced Amazon princess who forces anyone caught in her magic lasso to tell the truth."
fact,"Americans travel 1,144,721,000 miles by air every day."
fact,"The the U.S. you dial '911'. In Stockholm, Sweden you dial 90000."
fact,"38% of American men say they love their cars more than women."
fact,"The U.S. military operates 234 golf courses."
fact,"100% of lottery winners do gain weight."
fact,"Bullet proof vests, fire escapes, windshield wipers, and laser printers were all invented by women."
fact,"A cat has 32 muscles in each ear."
fact,"A duck's quack doesn't echo, and no one knows why."
fact,"Cats urine glows under a black light."
fact,"In every episode of Seinfeld there is a Superman somewhere."
fact,"Lorne Greene had one of his nipples bitten off by an alligator while he was host of ""Lorne Greene's Wild Kingdom.""."
fact,"Pamela Anderson Lee is Canada's Centennial Baby, being the first baby born on the centennial anniversary of Canada's independence."
fact,"Pinocchio is Italian for ""pine head.""."
fact,"When possums are playing 'possum', they are not ""playing."" They actually pass out from sheer terror."
fact,"Who's that playing the piano on the ""Mad About You"" theme? Paul Reiser himself."
fact,"Winston Churchill was born in a ladies' room during a dance."
fact,"Most lipstick contains fish scales!."
fact,"Donald Duck comics were banned from Finland because he doesn't wear pants!."
fact,"There are more than 10 million bricks in the Empire State Building!."
fact,"Camels have three eyelids to protect themselves from blowing sand!."
fact,"The placement of a donkey's eyes in its' heads enables it to see all four feet at all times!."
fact,"The average American/Canadian will eat about 11.9 pounds of cereal per year!."
fact,"Over 1000 birds a year die from smashing into windows!."
fact,"The state of Florida is bigger than England!."
fact,"Dolphins sleep with one eye open!."
fact,"In the White House, there are 13,092 knives, forks and spoons!."
fact,"Recycling one glass jar, saves enough energy to watch T.V for 3 hours!."
fact,"Owls are one of the only birds who can see the color blue!."
fact,"Honeybees have a type of hair on their eyes!."
fact,"A jellyfish is 95 percent water!."
fact,"In Bangladesh, kids as young as 15 can be jailed for cheating on their finals!."
fact,"The katydid bug hears through holes in its hind legs!."
fact,"Q is the only letter in the alphabet that does not appear in the name of any of the United States!."
fact,"166,875,000,000 pieces of mail are delivered each year in the US."
fact,"Bats always turn left when exiting a cave."
fact,"The praying mantis is the only insect that can turn its head."
fact,"Daffy Duck's middle name is ""Dumas""."
fact,"In Disney's Fantasia, the Sorcerer's name is ""Yensid"" (Disney backwards)."
fact,"In The Empire Strikes Back there is a potato hidden in the asteroid field."
fact,"Walt Disney holds the world record for the most Academy Awards won by one person, he has won twenty statuettes, and twelve other plaques and certificates."
fact,"James Bond's car had three different license plates in Goldfinger."
fact,"Canada makes up 6.67 percent of the Earth's land area."
fact,"South Dakota is the only U.S state which shares no letters with the name of it's capital."
fact,"The KGB is headquartered at No. 2 Felix Dzerzhinsky Square, Moscow."
fact,"The Vatican city registered 0 births in 1983."
fact,"Spain leads the world in cork production."
fact,"There are 1,792 steps in the Eiffel Tower."
fact,"There are 269 steps to the top of the Leaning Tower of Pisa."
fact,"Leonardo da Vinci could write with one hand while drawing with the other."
